"25.784866333007812,1029.6573486328125","31.63705062866211,982.6041259765625","30.030731201171875,944.1921997070312","43.75021743774414,907.3922729492188"
"25.54877281188965,1029.8951416015625","31.029834747314453,982.733154296875","29.82562255859375,944.4597778320312","43.48817443847656,907.7001953125"
"25.27531623840332,1030.12109375","30.62987518310547,983.0305786132812","29.590763092041016,944.7759399414062","43.10279846191406,908.0013427734375"
"24.990983963012695,1030.66357421875","30.050302505493164,983.2255249023438","29.225778579711914,945.1864013671875","42.9135627746582,908.48291015625"
"24.802780151367188,1030.894287109375","29.833593368530273,983.7889404296875","29.050596237182617,945.4927368164062","42.63471221923828,908.7782592773438"
"24.43699836730957,1031.3175048828125","29.655216217041016,984.1004638671875","28.5769100189209,945.76318359375","42.307559967041016,909.0182495117188"
"24.192020416259766,1031.851318359375","29.84438133239746,984.762939453125","28.585113525390625,946.21435546875","42.09391784667969,909.5156860351562"
"24.003721237182617,1032.0433349609375","29.03140640258789,984.8006591796875","28.375181198120117,946.383056640625","41.941986083984375,909.7472534179688"
"23.9278621673584,1032.116455078125","28.884241104125977,984.8132934570312","28.20499610900879,946.58544921875","41.829044342041016,909.9244384765625"
"23.798248291015625,1032.3668212890625","29.880006790161133,985.4765014648438","28.196855545043945,946.8355712890625","41.71150588989258,910.1355590820312"
"23.646957397460938,1032.670654296875","29.357458114624023,985.70361328125","27.990400314331055,947.07080078125","41.554317474365234,910.3784790039062"
"23.130558013916016,1032.91796875","28.50672721862793,985.8846435546875","27.43430519104004,947.2974853515625","41.0483283996582,910.6953125"
"22.630355834960938,1033.329833984375","28.304119110107422,986.3697509765625","27.159561157226562,947.8616333007812","40.79901885986328,911.1546630859375"
"22.195785522460938,1033.9716796875","27.967529296875,986.88623046875","26.952613830566406,948.30908203125","40.284141540527344,911.785400390625"
"22.080747604370117,1034.290283203125","26.73824691772461,986.962890625","26.47249412536621,948.6300048828125","40.035743713378906,911.9759521484375"
"21.570331573486328,1034.5914306640625","26.797161102294922,987.3718872070312","25.951637268066406,949.0560302734375","39.512237548828125,912.1987915039062"
"21.206857681274414,1034.9334716796875","26.643400192260742,987.405029296875","25.714895248413086,949.062744140625","39.23876190185547,912.4223022460938"
"21.18511390686035,1034.9246826171875","26.2884464263916,986.862060546875","25.57091522216797,949.1875","39.11491775512695,912.5812377929688"
"20.89826202392578,1035.0311279296875","26.62677574157715,986.36181640625","25.412277221679688,949.3134155273438","38.92796325683594,912.6229248046875"
"20.604263305664062,1035.3385009765625","26.274559020996094,986.8634033203125","25.1467227935791,949.6212158203125","38.504451751708984,912.902587890625"
"20.316425323486328,1035.8289794921875","25.71125030517578,986.919921875","24.92354965209961,950.0828857421875","38.492271423339844,913.30908203125"
"19.884017944335938,1036.044677734375","25.530214309692383,987.436279296875","24.374086380004883,950.32861328125","37.96718215942383,913.6112060546875"
"19.57282257080078,1036.3525390625","25.353530883789062,987.8870239257812","24.12346076965332,950.6019897460938","37.45893096923828,913.9168701171875"
"19.04010581970215,1036.6439208984375","24.984567642211914,988.4074096679688","23.67333984375,950.8555908203125","37.222129821777344,914.1480102539062"
"18.621883392333984,1036.82470703125","24.08754539489746,989.5393676757812","23.36919593811035,951.0839233398438","36.878814697265625,914.2039184570312"
"18.019580841064453,1036.947998046875","23.329883575439453,989.5333251953125","22.684206008911133,951.2890014648438","36.30852127075195,914.4750366210938"
"17.718767166137695,1037.0535888671875","23.095998764038086,989.5414428710938","22.127241134643555,951.2933349609375","36.14745330810547,914.5586547851562"
"17.19814682006836,1037.3585205078125","22.62770652770996,989.8112182617188","21.673830032348633,951.6357421875","35.663780212402344,914.8304443359375"
"16.859893798828125,1037.6544189453125","22.030752182006836,990.0582275390625","21.357458114624023,951.885498046875","35.40159606933594,915.0698852539062"
"16.637271881103516,1037.651123046875","21.882925033569336,990.0552368164062","21.122438430786133,951.8869018554688","34.952674865722656,915.0858764648438"
"16.370468139648438,1037.6494140625","21.80584716796875,990.0641479492188","20.918859481811523,951.877685546875","34.92727279663086,915.077392578125"
"16.266944885253906,1037.6571044921875","21.31923484802246,990.05859375","20.684154510498047,951.8779296875","34.675933837890625,915.0795288085938"
"15.933267593383789,1037.8714599609375","20.892457962036133,990.08056640625","20.367555618286133,952.101806640625","34.35662078857422,915.1104125976562"
"15.905497550964355,1037.6796875","20.95122528076172,990.0635375976562","20.359458923339844,951.8876953125","34.293617248535156,915.1023559570312"
"15.632209777832031,1037.6519775390625","21.054025650024414,990.0486450195312","20.11573028564453,951.894287109375","34.1481819152832,915.0734252929688"
"15.262843132019043,1037.6259765625","20.554746627807617,990.0516967773438","19.8137264251709,951.8346557617188","33.746646881103516,914.9981689453125"
"14.865432739257812,1037.63916015625","20.389434814453125,990.0895385742188","19.257720947265625,951.8336791992188","33.33495330810547,914.9796752929688"
"14.508893966674805,1037.5638427734375","19.641735076904297,989.8578491210938","19.02436065673828,951.59912109375","33.112030029296875,914.8704833984375"
"14.277486801147461,1037.4527587890625","19.46819496154785,989.8079223632812","18.813766479492188,951.5659790039062","32.87670135498047,914.8026733398438"
"14.005635261535645,1037.3411865234375","19.345691680908203,989.7489013671875","18.52486801147461,951.525390625","32.428260803222656,914.68896484375"
