"107.94378662109375,780.670654296875","109.40682983398438,818.6940307617188","114.1695556640625,850.2406005859375","127.89593505859375,887.6519165039062"
"107.81670379638672,780.3984375","109.20548248291016,818.3834838867188","114.09565734863281,850.031005859375","127.72294616699219,887.3613891601562"
"107.72230529785156,780.200927734375","109.05825805664062,818.2702026367188","113.939208984375,849.8446655273438","127.73259735107422,887.114990234375"
"107.41535186767578,780.186767578125","108.85077667236328,818.27197265625","113.86314392089844,849.8553466796875","127.74153900146484,887.203857421875"
"108.14176177978516,779.963134765625","109.64152526855469,818.0433959960938","114.39198303222656,849.5903930664062","128.18533325195312,886.9004516601562"
"109.98250579833984,780.4907836914062","111.0760269165039,818.6516723632812","115.72167205810547,850.3260498046875","129.11520385742188,888.015380859375"
"113.53324890136719,782.614501953125","113.84603118896484,820.6768798828125","117.58731079101562,852.4278564453125","130.08804321289062,890.96630859375"
"118.68798828125,784.9783325195312","117.94903564453125,822.7066040039062","120.8439712524414,854.9224853515625","132.32748413085938,893.9727172851562"
"123.79071807861328,787.864013671875","122.06951141357422,825.6744384765625","124.04364013671875,857.8590698242188","134.2860870361328,897.4966430664062"
"130.37115478515625,790.111572265625","127.86061096191406,827.5777587890625","129.0286407470703,859.9254760742188","138.64077758789062,899.9788818359375"
"137.83128356933594,791.9075927734375","134.84530639648438,829.1629028320312","135.43785095214844,861.4822387695312","144.2084503173828,902.2073974609375"
"146.8990936279297,792.74755859375","143.3396453857422,829.87744140625","143.88613891601562,862.3164672851562","152.03472900390625,903.2130737304688"
"156.24710083007812,793.2669067382812","152.3700714111328,830.3654174804688","152.18582153320312,862.7935180664062","160.42642211914062,903.7820434570312"
"166.5378875732422,792.7862548828125","162.3189697265625,829.8515625","161.95591735839844,862.2783203125","170.46990966796875,903.324462890625"
"177.57691955566406,791.76416015625","173.4442901611328,828.6076049804688","172.56027221679688,861.065673828125","180.7194366455078,902.0859985351562"
"188.39132690429688,790.1846313476562","183.75616455078125,826.9207763671875","182.88916015625,859.6761474609375","191.22091674804688,900.5535278320312"
"199.33084106445312,788.7528076171875","194.48826599121094,825.397216796875","193.79702758789062,857.9910888671875","202.22032165527344,898.9683837890625"
"210.1106719970703,787.12890625","205.07015991210938,823.869873046875","204.5844268798828,856.4718017578125","213.03721618652344,897.5437622070312"
"221.35784912109375,785.2667846679688","216.19430541992188,822.0970458984375","215.8865509033203,854.4545288085938","224.3835906982422,895.6168212890625"
"232.6671905517578,783.8342895507812","227.97308349609375,820.3123779296875","226.74842834472656,852.9490966796875","235.5350799560547,893.9443969726562"
"244.29734802246094,781.8530883789062","239.22488403320312,818.306396484375","238.4906463623047,850.9759521484375","247.0421600341797,892.0615844726562"
"255.56788635253906,780.0811767578125","250.5455780029297,816.4835205078125","249.72134399414062,848.9760131835938","258.30865478515625,890.0576782226562"
"266.8511657714844,778.2130737304688","261.69268798828125,814.7864990234375","261.23187255859375,847.2503051757812","270.13983154296875,888.462646484375"
"278.9043884277344,776.9521484375","272.97235107421875,813.2593383789062","272.2341003417969,846.0086059570312","281.8073425292969,887.0126953125"
"289.9241943359375,775.9541015625","283.95147705078125,812.2594604492188","283.3745422363281,844.7785034179688","292.168701171875,886.180908203125"
"301.30029296875,775.055908203125","295.02154541015625,811.4036254882812","294.18890380859375,844.0157470703125","303.1685485839844,885.388671875"
