Comment,Designator,Footprint,LCSC
300,"R1,R10,R11,R12,R3,R5,R6,R9",R_2010_5025Metric,C3036833
74HC7014,U2,SOIC-14_3.9x8.7mm_P1.27mm,C547143
LED,D2,LED_D3.0mm,
50k,R4,R_Variable,
Conn_01x04_Socket,J2,PinHeader_1x04_P2.54mm_Vertical,
Conn_01x04_Socket,J1,PinHeader_1x04_P2.54mm_Vertical,
50k,R2,R_Variable,
LED,D1,LED_D3.0mm,
50k,R8,R_Variable,
50k,R7,R_Variable,
Conn_01x02_Socket,J3,PinHeader_1x02_P2.54mm_Vertical,
LED,D4,LED_D3.0mm,
LED,D3,LED_D3.0mm,
LBR-127HLD,U6,LBR-127HLD,
LBR-127HLD,U1,LBR-127HLD,
LBR-127HLD,U4,LBR-127HLD,
LBR-127HLD,U5,LBR-127HLD,
