Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
A1,Arduino_Nano_Every,Arduino_Nano,36.7715,-57.246,0.0,bottom
D1,LED,LED_D3.0mm,33.4645,-53.69,0.0,top
D2,LED,LED_D3.0mm,40.5765,-53.69,0.0,top
J1,Conn_01x06_Socket,PinSocket_1x06_P2.54mm_Vertical,26.1035,-61.056,180.0,top
J2,Conn_01x04_Socket,PinSocket_1x04_P2.54mm_Vertical,36.5275,-77.978,90.0,top
J4,Barrel_Jack_MountingPin,BarrelJack_Horizontal,39.18,-27.605,270.0,bottom
R1,10k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,34.2315,-49.626,180.0,top
R2,10k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,39.3115,-47.34,0.0,top
SW1,SW_Push,SW,33.7235,-41.244,-90.0,top
SW2,SW_Push,SW,40.3275,-41.244,-90.0,top
U1,~,TC78H6353FTG,36.7715,-66.136,180.0,top
