Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,LED_D3.0mm,26.1075,-19.195,0.0,top
D2,LED,LED_D3.0mm,42.54,-19.195,0.0,top
D3,LED,LED_D3.0mm,60.955,-19.195,0.0,top
D4,LED,LED_D3.0mm,71.755,-19.195,0.0,top
J1,Conn_01x04_Socket,PinHeader_1x04_P2.54mm_Vertical,51.5075,-19.195,90.0,top
J2,Conn_01x04_Socket,PinHeader_1x04_P2.54mm_Vertical,15.875,-20.945,180.0,top
J3,Conn_01x02_Socket,PinHeader_1x02_P2.54mm_Vertical,15.875,-30.485,180.0,top
R1,300,R_2010_5025Metric,22.07,-33.165,180.0,top
R10,300,R_2010_5025Metric,74.595,-33.165,0.0,top
R11,300,R_2010_5025Metric,52.7775,-33.165,180.0,top
R12,300,R_2010_5025Metric,68.0175,-33.165,180.0,top
R2,50k,R_Variable,28.6475,-26.815,0.0,top
R3,300,R_2010_5025Metric,28.875,-33.165,0.0,top
R4,50k,R_Variable,43.8875,-26.815,0.0,top
R5,300,R_2010_5025Metric,44.115,-33.165,0.0,top
R6,300,R_2010_5025Metric,37.5375,-33.165,180.0,top
R7,50k,R_Variable,59.1275,-26.815,0.0,top
R8,50k,R_Variable,74.3675,-26.815,0.0,top
R9,300,R_2010_5025Metric,59.355,-33.165,0.0,top
U1,LBR-127HLD,LBR-127HLD,21.0275,-26.18,270.0,bottom
U2,74HC7014,SOIC-14_3.9x8.7mm_P1.27mm,34.29,-17.715,90.0,top
U4,LBR-127HLD,LBR-127HLD,36.2675,-26.18,270.0,bottom
U5,LBR-127HLD,LBR-127HLD,51.5075,-26.18,270.0,bottom
U6,LBR-127HLD,LBR-127HLD,66.7475,-26.18,270.0,bottom
